fullname,Papers,Cites,H-Index,First,Last
Samuel H. Preston,12,1135,9,1974,2016
Larry L. Bumpass,4,784,3,1986,2000
Hsien Hen Lu,1,732,1,2000,2000
John G.F. Cleland,6,686,6,1987,2003
Thomas McKeown,6,649,5,1955,1978
Chris Wilson,3,519,3,1987,1999
John E. Knodel,11,492,8,1967,2000
Kathleen E. Kiernan,6,428,6,1983,1999
Francesco C. Billari,8,422,6,2004,2019
Monica das Gupta,3,411,3,1990,2013
Óystein Kravdal,9,410,6,1992,2019
Pat Caldwell,4,408,4,1977,1992
Gigi Santow,9,358,7,1979,1998
Dudley Kirk,2,348,2,1974,1996
Hans Peter E. Köhler,5,343,4,2000,2005
John P.M. Bongaarts,10,335,8,1976,2019
Etienne van de Walle,6,326,5,1965,2000
Gordon F. de Jong,2,288,2,1991,2000
Tarun Kumar Roy,2,285,2,1998,2006
Guy Stecklov,6,282,6,1999,2016
Minja Kim Choe,3,281,3,1994,2010
Jan M. Hoem,6,266,5,1989,2016
Matthijs Kalmijn,4,262,3,2005,2010
John B. Casterline,5,259,3,1986,2020
John Hajnal,1,254,1,1953,1953
Elsie R. Pamuk,1,254,1,1985,1985
Cynthia B. Lloyd,3,240,3,1993,2008
Heather Booth,2,238,2,1984,2002
Julie S. DaVanzo,6,230,5,1982,2006
Eliya Msiyaphazi Zulu,3,228,3,2002,2010
Fred Arnold,1,223,1,1998,1998
Michael D. Bracher,3,218,3,1993,1998
Michael J. Murphy,7,215,6,1993,2016
Frans W.A. Van Poppel,7,213,6,1995,2016
Ronald F. Freedman,11,213,8,1954,1990
John H. Maindonald,1,211,1,2002,2002
Len R. Smith,1,211,1,2002,2002
Patrick R. Galloway,2,208,2,1988,1994
Henri Léridon,5,204,5,1976,2008
Aart C. Liefbroer,5,201,5,2001,2015
James Trussell,6,197,5,1988,1996
Ansley Johnson Coale,4,197,4,1957,1996
Mindel C. Sheps,5,196,5,1963,1966
Alaka Malwade Basu,5,195,5,1989,2004
Deborah L. Balk,2,194,2,1994,1997
John C. Barrett,1,189,1,1969,1969
John R. Marshall,1,189,1,1969,1969
Jan Hatzius,1,188,1,1997,1997
Anne H?l?ne Gauthier,1,188,1,1997,1997
Pekka Martikainen,8,186,7,1995,2018
