fullname,Papers,Cites,H-Index,First,Last
John C. Caldwell,20,1351,13,1963,2004
John E. Knodel,15,620,11,1967,2000
Samuel H. Preston,14,1204,11,1974,2016
Michael J. Murphy,12,383,11,1985,2016
Ronald F. Freedman,13,258,10,1954,1990
John P.M. Bongaarts,11,424,9,1976,2019
Robert G. Potter,20,294,9,1956,1986
James Trussell,10,405,9,1977,1996
John N. Hobcraft,11,644,8,1982,2006
Dov Friedlander,8,219,8,1966,2002
Francesco C. Billari,9,431,7,2001,2019
Ulla M. Larsen,7,185,7,1994,2008
Robert I. Woods,7,366,7,1983,2005
Pekka Martikainen,8,186,7,1995,2018
Gigi Santow,9,358,7,1979,1998
Mead T. Cain,7,250,7,1982,1991
Henri Léridon,9,306,7,1969,2008
Kenneth Hailey Hill,11,265,7,1977,2016
Alberto Palloni,11,204,7,1975,2009
Barbara S. Okun,7,190,6,1994,2016
Chris Wilson,6,677,6,1981,1999
Ronald Demos Lee,6,271,6,1974,2008
Kathleen E. Kiernan,6,428,6,1983,1999
John G.F. Cleland,7,686,6,1987,2003
Guy Stecklov,6,282,6,1999,2016
Frans W.A. Van Poppel,7,213,6,1995,2016
Michel Guillot,7,153,6,2002,2019
Michael D. Bracher,6,255,6,1981,1998
David Sven Reher,7,98,6,1989,2020
Jan M. Hoem,7,333,6,1989,2016
Lolagene C. Coombs,7,181,6,1966,1979
Óystein Kravdal,10,413,6,1992,2019
Emily Grundy,8,163,6,1991,2020
A. K.M. Alauddin Chowdhury,5,140,5,1972,1987
Jona Schellekens,6,117,5,1985,2017
Julie S. DaVanzo,6,230,5,1982,2006
D. V. Glass,15,78,5,1950,1971
David A. Coleman,6,158,5,1999,2015
William Henry James,11,80,5,1963,1978
Linda G. Martin,5,169,5,1980,2011
Etienne van de Walle,6,326,5,1965,2000
Noreen Goldman,7,78,5,1980,2003
John F. Ermisch,5,155,5,1979,2015
Nathan Keyfitz,10,116,5,1949,1996
Griffith Feeney,6,205,5,1980,1994
Joseph Earl Potter,6,104,5,1977,2013
Warren C. Robinson,5,181,5,1961,1997
Robert D. Retherford,6,111,5,1973,2010
Alaka Malwade Basu,5,195,5,1989,2004
Mindel C. Sheps,5,196,5,1963,1966
Aart C. Liefbroer,5,201,5,2001,2015
John G.C. Blacker,8,76,5,1957,2007
Jan van Bavel,5,154,5,2003,2018
Griselda Rowntree,7,68,5,1949,1964
Irma T. Elo,5,120,5,1999,2018
Ansley Johnson Coale,7,246,5,1957,1996
Thomas McKeown,6,649,5,1955,1978
Brian D. Silver,4,76,4,1986,1995
Michael R. Haines,4,121,4,1978,1995
Yi Zeng,4,161,4,1988,2004
Charlotte J. Erickson,4,74,4,1949,1990
Dirk J. van de Kaa,4,186,4,1991,2013
Gordon F. de Jong,4,315,4,1977,2000
Judith Blake,4,145,4,1966,1968
Jerzy Zubrzycki,4,106,4,1953,1962
Victor Agadjanian,4,130,4,2001,2017
Sidney Goldstein,4,112,4,1970,1997
Barbara A. Anderson,4,76,4,1986,1995
Pat Caldwell,4,408,4,1977,1992
Tehsiung Sun,4,147,4,1978,1990
Michael A. Stoto,4,81,4,1983,1990
Thomas J. Espenshade,4,60,4,1972,1988
Kenneth W. Wachter,4,77,4,1986,2006
Judah Matras,4,56,4,1960,1965
Carol Vlassoff,4,171,4,1980,1992
Vladimir M. Shkolnikov,4,81,4,2004,2013
Ronald R. Rindfuss,4,51,4,1984,2012
Peter Laslett,4,146,4,1969,1985
Daniel M. Goodkind,4,81,4,1995,2015
Michael Vlassoff,4,90,4,1979,1984
Ronald R. Rindfuss,4,60,4,1980,1986
Éva Beaujouan,4,150,4,2011,2018
Maxine Weinstein,4,120,4,1987,1990
Alícia Adserà,4,142,4,2006,2014
Larry L. Bumpass,5,801,4,1982,2000
Michael L. Anderson,4,73,4,1993,1998
Zhongwei Zhao,5,59,4,1994,2004
William Brass,8,103,4,1953,1996
John Hajnal,8,317,4,1947,1957
David M. Heer,6,67,4,1964,1977
E. Anthony Wrigley,6,180,4,1970,1994
Ian M. Timæus,6,142,4,1994,2018
Vladimir Canudas-Romo,6,58,4,2005,2020
Mikko Myrskylä,6,48,4,2014,2020
Norman H. Carrier,6,53,4,1955,1972
Charles F. Westoff,6,59,4,1956,1987
Stuart Gietel-Basten,5,59,4,2013,2019
Nicholas F.R. Crafts,5,50,4,1975,1989
Basia W. Żaba,6,176,4,1979,2020
Sandra L. Huffman,5,132,4,1978,1987
Kathryn Mary Yount,4,70,4,2001,2010
Hans Peter E. Köhler,5,343,4,2000,2005
Avraham Y. Ebenstein,3,29,3,2013,2015
Jane A. Menken,3,58,3,1987,1997
Satvika Chalasani,3,54,3,2012,2020
Alex Chika Ezeh,3,192,3,2001,2005
Sara C. Randall,3,84,3,1996,2011
Jeremiah M. Sullivan,3,74,3,1972,1979
Lincoln C. Chen,3,172,3,1974,1976
N. Keilman,3,34,3,1994,2001
Tarani Chandola,3,74,3,1999,2002
Helen Ware,3,51,3,1973,1977
Charles Hirschman,3,55,3,1980,2001
R. G. Record,3,504,3,1962,1975
Thomas W. Pullum,3,22,3,1981,1999
Philip Kreager,3,43,3,1988,2015
Shea O. Rutstein,3,429,3,1984,2014
Zachary S. Zimmer,3,142,3,2002,2011
James C. Riley,3,66,3,1989,2003
T. R. Balakrishnan,3,22,3,1969,1978
Patrick R. Galloway,3,266,3,1985,1994
Wolfgang Lutz,3,26,3,1987,2015
Minja Kim Choe,3,281,3,1994,2010
H. J. Page,3,96,3,1976,1980
Sangeetha Madhavan,3,69,3,2002,2017
Stan R. Becker,3,64,3,1986,2008
Jerzy Berent,3,45,3,1952,1970
Jennifer S. Barber,3,105,3,1998,2017
Mingcheng Chang,3,144,3,1982,2002
Evert van Imhoff,3,58,3,1992,1997
Alain Blum,3,60,3,1989,1996
Monica Das Gupta,3,141,3,1995,1998
Shiro Horiuchi,3,113,3,1982,2007
Steven Cherry,3,41,3,1972,1980
P. N.Mari Bhat,3,133,3,1999,2002
Cynthia B. Lloyd,3,240,3,1993,2008
C. J. Martin,3,21,3,1949,1953
A. Meredith John,3,52,3,1987,1990
Alden Speare,3,83,3,1967,1973
Andrew D. Foster,3,91,3,1990,1993
Ian D. Diamond,3,136,3,1983,1999
Philip C. Sagi,3,34,3,1961,1962
Francesco Scalone,3,41,3,2014,2017
Robert Schoen,3,29,3,1984,2005
Máire Ní Bhrolcháin,3,76,3,1987,2011
Monica das Gupta,3,411,3,1990,2013
J. Mayone Stycos,3,14,3,1978,1983
Alice Reid,3,76,3,2001,2020
Sara R. Millman,3,109,3,1985,1986
Cormac Ó. Gráda,3,73,3,1975,1995
Gabriele Doblhammer,3,146,3,2000,2013
Simon A.J. Gregson,3,127,3,1994,2003
Gavin W. Jones,3,31,3,1977,1983
Michael A. Koenig,3,138,3,1984,2012
Warren Bailley Miller,3,157,3,2004,2017
Janet W. Salaff,3,31,3,1972,1976
Lee L. Bean,3,107,3,1978,1986
Melinda C. Mills,3,75,3,2010,2015
John C. Barrett,4,223,3,1969,1974
T. H. Hollingsworth,3,90,3,1957,1975
George J. Stolnitz,3,130,3,1955,1965
Eliya Msiyaphazi Zulu,3,228,3,2002,2010
Peter J. Donaldson,5,47,3,1978,2002
Christopher Tietze,3,10,3,1955,1962
John B. Casterline,5,259,3,1986,2020
Martin Dribe,4,91,3,2004,2020
David Yaukey,4,29,3,1965,1979
Anrudh Kumar Jain,4,108,3,1969,1985
Julian L. Simon,5,56,3,1969,1983
Barbara Sena Mensch,4,170,3,1985,2020
Carl Mosk,4,78,3,1979,1987
Frans J.C. Willekens,4,50,3,1982,2017
Hill Kulu,4,56,3,2007,2019
Matthijs Kalmijn,4,262,3,2005,2010
P. H. Karmel,4,42,3,1947,1948
Fjalar S.A. Finnäs,4,44,3,1991,2018
France Meslé,4,59,3,1999,2020
David Wolfers,4,81,3,1968,1975
Lienping Chow,4,27,3,1965,1974
George C. Alter,3,94,3,1983,2004
Chirayath M. Suchindran,6,63,3,1979,1985
Bertram Hutchinson,4,24,3,1957,1961
William R. Lavely,3,58,3,1984,2001
Joshua R. Goldstein,3,47,3,2006,2018
Heather Joshi,3,135,3,1987,2000
Bernard Berelson,3,31,3,1971,1980
David K. Guilkey,3,69,3,1986,1997
P. E.H. Hair,3,107,3,1966,1971
R. W. Hiorns,3,74,3,1999,2002
G. W. Roberts,3,34,3,1948,1966
Zvi Eisenbach,2,46,2,1979,2002
Vincent Heath Whitney,2,4,2,1976,1976
John D. Durand,2,66,2,1950,1960
Alexander J. Mercer,2,49,2,1985,1986
J. Timothy Johnson,2,25,2,1988,1992
Henry B.M. Murphy,2,20,2,1951,1952
David R. Weir,2,75,2,1990,1994
John R. Wilmoth,2,53,2,1995,2012
George Stephan Masnick,2,47,2,1969,1971
Elise F. Jones,2,20,2,1981,1982
Timothy B. Gage,2,27,2,1986,1993
Christiaan W.S. Monden,2,7,2,2010,2018
William P. Butz,2,116,2,1983,1985
Wang Feng,2,111,2,1994,1995
W. D. Borrie,2,21,2,1957,1959
Rafael Blanquero,2,5,2,2012,2016
Jim E. Oeppen,2,40,2,1993,2019
Norman B. Ryder,2,16,2,1984,1985
Alice Goldstein,2,80,2,1981,1997
Jackie Li,2,43,2,2013,2016
Jennifer L. Glanville,2,137,2,2002,2007
Tarun Kumar Roy,2,285,2,1998,2006
W. G. Emmett,2,14,2,1950,1954
Andres Vikat,2,87,2,1999,2007
Hilary Page,2,30,2,2001,2008
Tommy Bengtsson,2,112,2,2000,2017
Barry Michael Popkin,2,32,2,1986,1988
James W. Wood,2,64,2,1988,1990
Massimo Livi-Bacci,2,13,2,1974,2015
Alvin T. Onaka,2,8,2,1972,1973
Patrick Lusyne,2,30,2,2001,2008
Gary H. McClelland,2,74,2,1975,1975
Neil H. Thomas,2,19,2,1991,1993
Massimo Livi Bacci,2,62,2,1968,1968
Michael S. Teitelbaum,2,27,2,1974,2015
John S. Akin,2,32,2,1986,1988
B. Benjamin,2,12,2,1964,1964
Ruth B. Dixon,2,184,2,1971,1978
Jean Marie Robine,2,80,2,2006,2007
Nicky Hart,2,87,2,1993,1998
Julius Isaac,2,5,2,1949,1950
Zuzanna Brzozowska,2,23,2,2016,2018
Dallas F S Fernando,2,28,2,1972,1975
Heather Booth,2,238,2,1984,2002
Daniel C. Clay,2,56,2,1992,1993
Janet D. Griffith,2,55,2,1984,1985
Martin Bell,2,65,2,2000,2014
James Allman,2,18,2,1978,1979
Mark J. VanLandingham,2,76,2,1992,2001
Bertrand Desjardins,2,52,2,1990,1995
Rachel M. Pierce,2,24,2,1961,1961
Robert V. Wells,2,67,2,1971,1992
Elizabeth Thomson,2,73,2,1999,2011
Irene Barnes Taeuber,2,15,2,1947,1960
Les D. Mayhew,2,15,2,2013,2015
Ann Klimas Blanc,2,35,2,2017,2019
Margaret P. Parker,2,90,2,1964,1965
Cameron D. Campbell,2,111,2,1994,1995
Henriette Engelhardt,2,118,2,2004,2009
R. J. Roshier,2,58,2,1966,1966
Heidi A. Hanson,2,26,2,2015,2017
Wiley Henry Mosley,2,154,2,1974,1978
Arthur H.O. van Soest,2,19,2,2011,2014
Lee Jay Cho,2,31,2,1978,1988
Evgeny M. Andreev,2,40,2,2004,2011
James W.B. Douglas,2,11,2,1949,1951
Deborah L. Balk,2,194,2,1994,1997
G. W. Roberts,2,14,2,1955,1961
J. Richard Udry,2,7,2,1973,1979
Michel L. Garenne,2,76,2,1989,2002
Helen P. Koo,2,55,2,1984,1985
Torkild Hovde Lyngstad,2,16,2,2009,2018
Paola Di Giulio,2,111,2,2011,2012
Brienna Perelli-Harris,2,148,2,2005,2012
Nyovani J. Madise,2,64,2,1999,2012
Richard Leete,2,21,2,1986,1987
Timothy W. Guinnane,2,82,2,1991,2002
T. James Trussell,2,87,2,1974,1975
Joseph Chamie,2,53,2,1977,1986
Alessandro Rosina,2,4,2,2006,2010
John A. Hostetler,2,45,2,1966,1979
Clyde H. Coombs,2,74,2,1975,1975
S. Philip Morgan,2,165,2,1993,1996
Dharmalingam Arunachalam,2,99,2,1993,1996
James M. Sakoda,2,9,2,1967,1972
David Leon,2,20,2,2011,2014
Derek F.M. Roberts,2,25,2,1959,1971
Shige Song,2,31,2,2008,2013
Anthony T. Flegg,2,141,2,1979,1982
Jiajian Chen,2,48,2,2007,2010
Elizabeth Frankenberg,2,90,2,2002,2005
Oiva Turpeinen,2,41,2,1978,1979
Zoë Matthews,2,64,2,1999,2012
Elina K. Nihtilä,2,110,2,2005,2007
Peter R. Uhlenberg,2,71,2,1969,1995
Li Bohua,2,26,2,1988,2010
Enid J. Schatz,2,31,2,2009,2012
Kenneth Alan Bollen,2,137,2,2002,2007
Ken Robert Smith,2,26,2,2015,2017
Gerḿan Rodríguez,2,103,2,1988,1992
Gunnar Andersson,2,102,2,2005,2007
J. R. Rele,2,9,2,1962,1974
S. Ahmed,2,30,2,2001,2008
Scott T. Yabiku,2,97,2,2005,2010
Michael J. White,2,61,2,1999,2006
Gösta Carlsson,2,149,2,1966,1970
Philip Howell Rees,2,40,2,2000,2014
Ronald P. Dore,2,13,2,1953,1959
Clyde V. Kiser,2,33,2,1953,1956
Kia I. Reinis,2,23,2,1992,1994
Violetta Hionidou,2,35,2,1998,2002
I. O. Orubuloye,2,115,2,1975,1992
Guido Alfani,2,25,2,2010,2019
Trude Lappegård,2,122,2,2010,2012
Calvin Goldscheider,2,51,2,1978,1979
Ingrid K. van Dijk,2,7,2,2019,2020
Glenn Sandström,2,17,2,2015,2018
Marika Jalovaara,2,110,2,2001,2012
N. J. Ireland,2,12,2,1975,1976
Emily M. Agree,2,54,2,2005,2010
James A. Palmore,2,32,2,1982,1986
Caroline Berghammer,2,117,2,2012,2012
C. Shannon Stokes,2,21,2,1973,1986
Francis Nii Amoo Dodoo,2,145,2,2001,2002
Jennifer A. Holland,2,21,2,2011,2017
Thomas Schindlmayr,2,121,2,2003,2004
Chris Galley,2,82,2,1995,2001
Patricia A. Watterson,2,208,2,1988,1989
A. M. Henderson,2,21,2,1949,1950
Allan Schnaiberg,2,18,2,1973,1974
Victoria Hosegood,2,93,2,2007,2010
Roy E. Jones,2,28,2,1976,1980
David Smith,2,15,2,2013,2015
Ron J. Lesthaeghe,2,54,2,1971,1980
Anna Matysiak,2,67,2,2009,2014
Helga A.G. De Valk,2,31,2,2007,2017
Carl Paul Schmertmann,2,19,2,1992,2013
Anne Retel-Laurentin,2,14,2,1976,1981
Elyse A. Jennings,2,10,2,2016,2017
John Peel,2,40,2,1963,1964
Martin Piotrowski,2,26,2,2007,2012
Mark Spoerer,2,21,2,2002,2006
Herman E. Daly,2,25,2,1971,1985
El Sayed E. Nour,2,7,2,1983,1984
P. M. Kulkarni,2,5,2,1976,1977
Patrick Heuveline,2,83,2,1998,2015
Jacques Légaré,2,55,2,1990,1997
Anne R. Pebley,2,23,2,1981,1985
J. Anson,2,37,2,1991,2004
Magali Barbieri,2,68,2,1996,2008
Donald W. Hastings,2,15,2,1971,1972
Geraldine P. Mineau,2,71,2,1979,1986
Carine Ronsmans,2,132,2,1995,2006
Mark H. Skolnick,2,68,2,1978,1979
Abbas Uddin Bhuiya,2,77,2,1991,1997
Gilles Pison,2,43,2,1985,2014
Brendan M. Walsh,2,40,2,1970,1995
Myriam Khlat,2,17,2,1989,1997
