fullname,Papers,Cites,H-Index,HM-Index,First,Last
John C. Caldwell,20,1351,13,12,1963,2004
Samuel H. Preston,14,1204,11,11,1974,2016
John E. Knodel,15,620,11,10,1967,2000
John P.M. Bongaarts,11,424,9,9,1976,2019
Michael J. Murphy,12,383,11,9,1985,2016
Mead T. Cain,7,250,7,7,1982,1991
Robert I. Woods,7,366,7,7,1983,2005
Gigi Santow,9,358,7,7,1979,1998
James Trussell,10,405,9,7,1977,1996
Henri Léridon,9,306,7,7,1969,2008
John N. Hobcraft,11,644,8,7,1982,2006
John G.F. Cleland,7,686,6,6,1987,2003
Óystein Kravdal,10,413,6,6,1992,2019
Alberto Palloni,11,204,7,6,1975,2009
Ronald Demos Lee,6,271,6,6,1974,2008
Chris Wilson,6,677,6,6,1981,1999
Barbara S. Okun,7,190,6,6,1994,2016
Jan M. Hoem,7,333,6,6,1989,2016
Dov Friedlander,8,219,8,6,1966,2002
Robert G. Potter,20,294,9,6,1956,1986
Kathleen E. Kiernan,6,428,6,6,1983,1999
Ronald F. Freedman,13,258,10,6,1954,1990
Warren C. Robinson,5,181,5,5,1961,1997
Ulla M. Larsen,7,185,7,5,1994,2008
Julie S. DaVanzo,6,230,5,5,1982,2006
Linda G. Martin,5,169,5,5,1980,2011
Michael D. Bracher,6,255,6,5,1981,1998
Guy Stecklov,6,282,6,5,1999,2016
Griffith Feeney,6,205,5,5,1980,1994
Frans W.A. Van Poppel,7,213,6,5,1995,2016
David Sven Reher,7,98,6,5,1989,2020
Lolagene C. Coombs,7,181,6,5,1966,1979
Mindel C. Sheps,5,196,5,5,1963,1966
Thomas McKeown,6,649,5,5,1955,1978
D. V. Glass,15,78,5,5,1950,1971
William Henry James,11,80,5,5,1963,1978
Kenneth Hailey Hill,11,265,7,5,1977,2016
Nathan Keyfitz,10,116,5,5,1949,1996
Francesco C. Billari,9,431,7,5,2001,2019
A. K.M. Alauddin Chowdhury,5,140,5,5,1972,1987
Emily Grundy,8,163,6,5,1991,2020
John F. Ermisch,5,155,5,5,1979,2015
Griselda Rowntree,7,68,5,5,1949,1964
Ansley Johnson Coale,7,246,5,5,1957,1996
Etienne van de Walle,6,326,5,5,1965,2000
Judah Matras,4,56,4,4,1960,1965
Zhongwei Zhao,5,59,4,4,1994,2004
Aart C. Liefbroer,5,201,5,4,2001,2015
Kenneth W. Wachter,4,77,4,4,1986,2006
Thomas J. Espenshade,4,60,4,4,1972,1988
Pat Caldwell,4,408,4,4,1977,1992
Sandra L. Huffman,5,132,4,4,1978,1987
Larry L. Bumpass,5,801,4,4,1982,2000
Michael L. Anderson,4,73,4,4,1993,1998
Peter Laslett,4,146,4,4,1969,1985
Alícia Adserà,4,142,4,4,2006,2014
Tehsiung Sun,4,147,4,4,1978,1990
Sidney Goldstein,4,112,4,4,1970,1997
Jerzy Zubrzycki,4,106,4,4,1953,1962
Brian D. Silver,4,76,4,4,1986,1995
Yi Zeng,4,161,4,4,1988,2004
Judith Blake,4,145,4,4,1966,1968
Carol Vlassoff,4,171,4,4,1980,1992
Michael R. Haines,4,121,4,4,1978,1995
Michael Vlassoff,4,90,4,4,1979,1984
John Hajnal,8,317,4,4,1947,1957
Robert D. Retherford,6,111,5,4,1973,2010
Basia W. Żaba,6,176,4,4,1979,2020
David M. Heer,6,67,4,4,1964,1977
Michel Guillot,7,153,6,4,2002,2019
Joseph Earl Potter,6,104,5,4,1977,2013
Ian M. Timæus,6,142,4,4,1994,2018
Charlotte J. Erickson,4,74,4,4,1949,1990
E. Anthony Wrigley,6,180,4,4,1970,1994
David A. Coleman,6,158,5,4,1999,2015
Daniel M. Goodkind,4,81,4,4,1995,2015
Barbara A. Anderson,4,76,4,4,1986,1995
John G.C. Blacker,8,76,5,4,1957,2007
Alaka Malwade Basu,5,195,5,4,1989,2004
William Brass,8,103,4,4,1953,1996
Pekka Martikainen,8,186,7,4,1995,2018
Melinda C. Mills,3,75,3,3,2010,2015
Zachary S. Zimmer,3,142,3,3,2002,2011
George J. Stolnitz,3,130,3,3,1955,1965
James C. Riley,3,66,3,3,1989,2003
George C. Alter,3,94,3,3,1983,2004
Sangeetha Madhavan,3,69,3,3,2002,2017
Patrick R. Galloway,3,266,3,3,1985,1994
Wolfgang Lutz,3,26,3,3,1987,2015
Lee L. Bean,3,107,3,3,1978,1986
Stan R. Becker,3,64,3,3,1986,2008
William R. Lavely,3,58,3,3,1984,2001
P. E.H. Hair,3,107,3,3,1966,1971
G. W. Roberts,3,34,3,3,1948,1966
Jerzy Berent,3,45,3,3,1952,1970
Jennifer S. Barber,3,105,3,3,1998,2017
T. H. Hollingsworth,3,90,3,3,1957,1975
Gabriele Doblhammer,3,146,3,3,2000,2013
Philip Kreager,3,43,3,3,1988,2015
Andrew D. Foster,3,91,3,3,1990,1993
Michael A. Koenig,3,138,3,3,1984,2012
Monica Das Gupta,3,141,3,3,1995,1998
C. J. Martin,3,21,3,3,1949,1953
Steven Cherry,3,41,3,3,1972,1980
Máire Ní Bhrolcháin,3,76,3,3,1987,2011
Shea O. Rutstein,3,429,3,3,1984,2014
Cormac Ó. Gráda,3,73,3,3,1975,1995
Janet W. Salaff,3,31,3,3,1972,1976
Maxine Weinstein,4,120,4,3,1987,1990
Cynthia B. Lloyd,3,240,3,3,1993,2008
Shiro Horiuchi,3,113,3,3,1982,2007
P. N.Mari Bhat,3,133,3,3,1999,2002
A. Meredith John,3,52,3,3,1987,1990
Ian D. Diamond,3,136,3,3,1983,1999
Jane A. Menken,3,58,3,3,1987,1997
Monica das Gupta,3,411,3,3,1990,2013
J. Mayone Stycos,3,14,3,3,1978,1983
Sara R. Millman,3,109,3,3,1985,1986
Simon A.J. Gregson,3,127,3,3,1994,2003
Warren Bailley Miller,3,157,3,3,2004,2017
Mingcheng Chang,3,144,3,3,1982,2002
Alex Chika Ezeh,3,192,3,3,2001,2005
Sara C. Randall,3,84,3,3,1996,2011
Jeremiah M. Sullivan,3,74,3,3,1972,1979
Lincoln C. Chen,3,172,3,3,1974,1976
Helen Ware,3,51,3,3,1973,1977
Charles Hirschman,3,55,3,3,1980,2001
R. G. Record,3,504,3,3,1962,1975
Eliya Msiyaphazi Zulu,3,228,3,3,2002,2010
Heather Joshi,3,135,3,3,1987,2000
Nicholas F.R. Crafts,5,50,4,3,1975,1989
Kathryn Mary Yount,4,70,4,3,2001,2010
Fjalar S.A. Finnäs,4,44,3,3,1991,2018
Michael A. Stoto,4,81,4,3,1983,1990
Bertram Hutchinson,4,24,3,3,1957,1961
Lienping Chow,4,27,3,3,1965,1974
Gordon F. de Jong,4,315,4,3,1977,2000
David Wolfers,4,81,3,3,1968,1975
P. H. Karmel,4,42,3,3,1947,1948
Victor Agadjanian,4,130,4,3,2001,2017
Matthijs Kalmijn,4,262,3,3,2005,2010
Hill Kulu,4,56,3,3,2007,2019
Carl Mosk,4,78,3,3,1979,1987
Hans Peter E. Köhler,5,343,4,3,2000,2005
Vladimir M. Shkolnikov,4,81,4,3,2004,2013
Julian L. Simon,5,56,3,3,1969,1983
John B. Casterline,5,259,3,3,1986,2020
Jan van Bavel,5,154,5,3,2003,2018
Irma T. Elo,5,120,5,3,1999,2018
Peter J. Donaldson,5,47,3,3,1978,2002
Noreen Goldman,7,78,5,3,1980,2003
Vladimir Canudas-Romo,6,58,4,3,2005,2020
Stuart Gietel-Basten,5,59,4,3,2013,2019
Charles F. Westoff,6,59,4,3,1956,1987
Norman H. Carrier,6,53,4,3,1955,1972
Jona Schellekens,6,117,5,3,1985,2017
John C. Barrett,4,223,3,3,1969,1974
France Meslé,4,59,3,3,1999,2020
Barbara Sena Mensch,4,170,3,3,1985,2020
Éva Beaujouan,4,150,4,3,2011,2018
Ronald R. Rindfuss,4,60,4,3,1980,1986
Anrudh Kumar Jain,4,108,3,3,1969,1985
P. H. Reddy,2,253,2,2,1983,1983
Christabel M. Young,2,40,2,2,1975,1991
Jennifer L. Glanville,2,137,2,2,2002,2007
Dallas F S Fernando,2,28,2,2,1972,1975
Margaret P. Parker,2,90,2,2,1964,1965
Gertrude E. Huntington,2,45,2,2,1966,1979
Cameron D. Campbell,2,111,2,2,1994,1995
S. Philip Morgan,2,65,2,2,1984,1996
Henriette Engelhardt,2,118,2,2,2004,2009
Laurence M. Grummer-Strawn,2,73,2,2,1992,1993
R. J. Roshier,2,58,2,2,1966,1966
Wiley Henry Mosley,2,154,2,2,1974,1978
N. K. Sarkar,2,9,2,2,1951,1956
Lee Jay Cho,2,31,2,2,1978,1988
Evgeny M. Andreev,2,40,2,2,2004,2011
P. Neal Ritchey,2,8,2,2,1973,1975
David R. Weir,2,75,2,2,1990,1994
John R. Wilmoth,2,53,2,2,1995,2012
Tom A. Moultrie,2,113,2,2,2003,2012
William George Axinn,2,62,2,2,1993,1998
Herman E. Daly,2,25,2,2,1971,1985
Nan Li,2,29,2,2,1999,2003
Tarun Kumar Roy,2,285,2,2,1998,2006
Patrick Heuveline,2,83,2,2,1998,2015
W. G. Emmett,2,14,2,2,1950,1954
Phillip R. Kunz,2,34,2,2,1974,1976
Deborah L. Balk,2,194,2,2,1994,1997
Adenola A. Igun,2,24,2,2,1970,1971
Alexander J. Mercer,2,49,2,2,1985,1986
Timothy B. Gage,2,27,2,2,1986,1993
Frank L. Mott,2,24,2,2,1972,1983
John D. Durand,2,66,2,2,1950,1960
Henry B.M. Murphy,2,20,2,2,1951,1952
Graziella Caselli,2,33,2,2,2006,2011
G. W. Roberts,2,14,2,2,1955,1961
J. Anson,2,37,2,2,1991,2004
Michel L. Garenne,2,76,2,2,1989,2002
Julius Isaac,2,5,2,2,1949,1950
Aude Bernard,2,42,2,2,2014,2017
Neil H. Thomas,2,19,2,2,1991,1993
Heather Booth,2,238,2,2,1984,2002
Daniel C. Clay,2,56,2,2,1992,1993
Janet D. Griffith,2,55,2,2,1984,1985
Martin Bell,2,65,2,2,2000,2014
James Allman,2,18,2,2,1978,1979
Anatole Romaniuk,2,66,2,2,1973,1980
Mark J. VanLandingham,2,76,2,2,1992,2001
Bertrand Desjardins,2,52,2,2,1990,1995
Rachel M. Pierce,2,24,2,2,1961,1961
Abdelmegid M. Farrag,2,15,2,2,1959,1964
Jacques Légaré,2,55,2,2,1990,1997
