,Europe,Africa,North America,Asia,South America,Multiple,Oceana
Topic 1a,0.11977715877437325,0.2288135593220339,0.2217573221757322,0.22178988326848248,0.1958762886597938,0.08571428571428572,0.09803921568627451
Topic 1b,0.11002785515320335,0.11440677966101695,0.1297071129707113,0.11284046692607004,0.16494845360824742,0.1357142857142857,0.11764705882352941
Topic 2a,0.07938718662952646,0.046610169491525424,0.05439330543933055,0.054474708171206226,0.09278350515463918,0.12857142857142856,0.1568627450980392
Topic 2b,0.04596100278551532,0.025423728813559324,0.016736401673640166,0.05252918287937743,0.05154639175257732,0.03571428571428571,0.0
Topic 2c,0.04874651810584958,0.1059322033898305,0.02510460251046025,0.05642023346303502,0.0,0.02142857142857143,0.0196078431372549
Topic 3a,0.03899721448467967,0.01694915254237288,0.058577405857740586,0.029182879377431907,0.061855670103092786,0.11428571428571428,0.11764705882352941
Topic 3b,0.005571030640668524,0.00423728813559322,0.0041841004184100415,0.0019455252918287938,0.0,0.0,0.0
Topic 3c,0.004178272980501393,0.01694915254237288,0.008368200836820083,0.013618677042801557,0.030927835051546393,0.0,0.0
Topic 4a,0.033426183844011144,0.0423728813559322,0.03347280334728033,0.07198443579766536,0.061855670103092786,0.07857142857142857,0.0196078431372549
Topic 4b,0.07799442896935933,0.11016949152542373,0.09205020920502092,0.06420233463035019,0.061855670103092786,0.02857142857142857,0.0392156862745098
Topic 4c,0.181058495821727,0.0423728813559322,0.1297071129707113,0.0933852140077821,0.10309278350515463,0.10714285714285714,0.13725490196078433
Topic 5a,0.06406685236768803,0.07203389830508475,0.09205020920502092,0.05642023346303502,0.07216494845360824,0.11428571428571428,0.058823529411764705
Topic 6a,0.10306406685236769,0.06779661016949153,0.0502092050209205,0.05642023346303502,0.05154639175257732,0.05714285714285714,0.1568627450980392
Topic 6b,0.052924791086350974,0.046610169491525424,0.058577405857740586,0.05252918287937743,0.020618556701030927,0.04285714285714286,0.0392156862745098
Topic 6c,0.005571030640668524,0.01694915254237288,0.0,0.03501945525291829,0.010309278350515464,0.007142857142857143,0.0
Topic 7a,0.02924791086350975,0.0423728813559322,0.02510460251046025,0.027237354085603113,0.020618556701030927,0.04285714285714286,0.0392156862745098
